OBJECTID,Type,Provider,Latitude,Longitude,X,Y,Location_T,City,Borough Name
786,Free,Downtown Brooklyn,40.690883,-73.989635,987124.4089,190983.9166,Outdoor,Brooklyn,Brooklyn
787,Free,Downtown Brooklyn,40.690883,-73.989635,987124.4089,190983.9166,Outdoor,Brooklyn,Brooklyn
788,Free,Downtown Brooklyn,40.690883,-73.989635,987124.4089,190983.9166,Outdoor,Brooklyn,Brooklyn
798,Free,Harlem,40.798806,-73.949975,998100.4149,230307.504,Outdoor,New York,Manhattan
799,Free,Harlem,40.802617,-73.943026,1000023.48,231697.1594,Outdoor,New York,Manhattan
800,Free,Harlem,40.801832,-73.943462,999902.9565,231411.0782,Outdoor,New York,Manhattan
801,Free,Harlem,40.801112,-73.943796,999810.6546,231148.6975,Outdoor,New York,Manhattan
802,Free,Harlem,40.797335,-73.946924,998945.4693,229772.0645,Outdoor,New York,Manhattan
803,Free,Harlem,40.799721,-73.944932,999496.4597,230641.7081,Outdoor,New York,Manhattan
804,Free,Harlem,40.797893,-73.946259,999129.4673,229975.4758,Outdoor,New York,Manhattan
805,Limited Free,SPECTRUM,40.677193,-74.008723,981830.452,185996.2029,Outdoor,Brooklyn,Brooklyn
806,Limited Free,SPECTRUM,40.677193,-74.008723,981830.452,185996.2029,Outdoor,Brooklyn,Brooklyn
807,Limited Free,SPECTRUM,40.677193,-74.008723,981830.452,185996.2029,Outdoor,Brooklyn,Brooklyn
808,Limited Free,SPECTRUM,40.73121,-73.774084,1046862.781,205756.8336,Outdoor TWC Aerial,Queens,Queens
809,Limited Free,SPECTRUM,40.730544,-73.776718,1046133.386,205512.318,Outdoor TWC Aerial,Queens,Queens
810,Limited Free,SPECTRUM,40.730124,-73.773857,1046926.715,205361.3334,Outdoor,Queens,Queens
811,Limited Free,SPECTRUM,40.730124,-73.773857,1046926.715,205361.3334,Outdoor,Queens,Queens
812,Limited Free,SPECTRUM,40.726811,-73.775861,1046374.386,204152.8811,Outdoor TWC Aerial,Queens,Queens
813,Limited Free,SPECTRUM,40.729869,-73.773841,1046931.389,205268.4409,Outdoor,Queens,Queens
814,Limited Free,SPECTRUM,40.772005,-73.982384,989129.3032,220539.5206,Outdoor,New York,Manhattan
815,Limited Free,SPECTRUM,40.61299,-74.012924,980661.7457,162605.438,Outdoor,Brooklyn,Brooklyn
816,Limited Free,SPECTRUM,40.730822,-73.884479,1016266.94,205555.8445,Outdoor TWC Aerial,Queens,Queens
817,Limited Free,SPECTRUM,40.730489,-73.8842,1016344.426,205434.6243,Outdoor TWC Aerial,Queens,Queens
818,Limited Free,SPECTRUM,40.728838,-73.883751,1016469.667,204833.279,Outdoor TWC Aerial,Queens,Queens
819,Limited Free,SPECTRUM,40.771442,-73.988109,987543.6132,220334.1339,Outdoor,New York,Manhattan
820,Limited Free,SPECTRUM,40.771442,-73.988109,987543.6132,220334.1339,Indoor,New York,Manhattan
